sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
2071	0.48796	0.48308	0.233366	0.016669	1.6669e-05	0.016669	0.016669	0
2067	0.461733	0.452237	0.204518	0.0312774	4.79465e-05	0.0312774	0.0312774	0
2020	0.449185	0.435196	0.189396	0.0448057	9.27522e-05	0.0448057	0.0448057	0
1950	0.455459	0.436916	0.190895	0.0584411	0.000151193	0.0584411	0.0584411	0
1898	0.477269	0.453953	0.206073	0.0731606	0.000224354	0.0731606	0.0731606	0
1890	0.501648	0.473316	0.224028	0.0891626	0.000313516	0.0891626	0.0891626	0
1930	0.515085	0.481602	0.23194	0.10573	0.000419246	0.10573	0.10573	0
1996	0.510494	0.471906	0.222695	0.121636	0.000540883	0.121636	0.121636	0
2054	0.491385	0.447883	0.200599	0.135965	0.000676848	0.135965	0.135965	0
2073	0.46878	0.42059	0.176896	0.1486	0.000825448	0.1486	0.1486	0
2046	0.455937	0.403188	0.00638274	0.149056	0.000974504	0.149056	0.149056	0
1978	0.457289	0.399966	0.00273218	0.149252	0.00112376	0.149252	0.149252	0
1914	0.473598	0.41154	0.000559632	0.149291	0.00127305	0.149291	0.149291	0
1899	0.49785	0.430813	3.7238e-05	0.149294	0.00142234	0.149294	0.149294	0
1924	0.51243	0.440269	0.000187249	0.132638	0.00155498	0.149294	0.149294	0
1984	0.511806	0.434527	0.00150457	0.118138	0.00167312	0.149294	0.149294	0
2040	0.495332	0.413099	0.00469257	0.104944	0.00177806	0.149294	0.149294	0
2068	0.474077	0.387104	0.00719125	0.0918227	0.00186988	0.149294	0.149294	0
2050	0.459101	0.367537	0.00645549	0.0775643	0.00194745	0.149294	0.149294	0
1995	0.458138	0.361992	0.00343369	0.0618076	0.00200926	0.149294	0.149294	0
1932	0.470992	0.370136	0.00109242	0.0453185	0.00205458	0.149294	0.149294	0
1896	0.49034	0.384581	0.000236699	0.0294286	0.002084	0.149294	0.149294	0
1905	0.50504	0.394231	0.000299596	0.0151215	0.00209913	0.149294	0.149294	0
1959	0.508425	0.392531	0.00146553	0.00259077	0.00210172	0.149294	0.149294	0
2020	0.497025	0.376162	0.00410971	0.00242841	0.00210414	0.149294	0.149294	0
2062	0.47933	0.353673	0.00653734	0.00270021	0.00210684	0.149294	0.149294	0
2057	0.463968	0.333672	0.00630873	0.00311086	0.00210996	0.149294	0.149294	0
2008	0.459274	0.324385	0.00393378	0.00338919	0.00211335	0.149294	0.149294	0
1942	0.467452	0.327888	0.00157204	0.0034881	0.00211683	0.149294	0.149294	0
1892	0.482842	0.33845	0.000554246	0.00342022	0.00212025	0.149294	0.149294	0
1888	0.497444	0.348077	0.000486619	0.00311979	0.00212337	0.149294	0.149294	0
1931	0.503055	0.348658	0.00129051	0.00269831	0.00212607	0	0.149294	0
2001	0.497796	0.33842	0.00311483	0.00245969	0.00212853	0.00245969	0.00245969	0
2067	0.486646	0.322404	0.00491781	0.0025657	0.0021311	0.0025657	0.0025657	0
2082	0.473306	0.304331	0.00515962	0.00285622	0.00213395	0.00285622	0.00285622	0
2060	0.470423	0.296744	0.00324099	0.00307081	0.00213702	0.00307081	0.00307081	0
1998	0.475577	0.297143	0.00133438	0.00314472	0.00214017	0.00314472	0.00314472	0
1937	0.487414	0.304105	0.000411274	0.00306942	0.00214324	0.00314472	0.00314472	0
1913	0.499887	0.311579	0.000265982	0.00279487	0.00214603	0.00314472	0.00314472	0
1933	0.504749	0.311394	0.000732032	0.0023802	0.00214841	0.00314472	0.00314472	0
1986	0.499663	0.301311	0.00218707	0.0020858	0.0021505	0.00314472	0.00314472	0
2041	0.487295	0.28407	0.00417155	0.00210278	0.0021526	0.00314472	0.00314472	0
2065	0.473935	0.26597	0.00524898	0.00236542	0.00215497	0.00314472	0.00314472	0
2048	0.467577	0.254937	0.0045518	0.00265096	0.00215762	0.00314472	0.00314472	0
1995	0.470322	0.252978	0.00263713	0.00280457	0.00216042	0.00314472	0.00314472	0
1933	0.479828	0.257686	0.0015255	0.00282135	0.00216324	0.00314472	0.00314472	0
1898	0.491165	0.264112	0.00109103	0.00267679	0.00216592	0.00314472	0.00314472	0
1914	0.499262	0.267216	0.00136079	0.00242272	0.00216834	0.00314472	0.00314472	0
1958	0.496504	0.259493	0.0027129	0.00224796	0.00217059	0.00314472	0.00314472	0
